,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
330,421,Finchley Road Underground Station,2018-10-31 19:17:04+00:00,Baker Street Underground Station,2018-10-31 19:22:40+00:00,3280,yes,Evening,tube,9.68,0.78,0.44,10.01,no,no,2.6
562,473,Finchley Road Underground Station,2018-10-31 20:41:09+00:00,Baker Street Underground Station,2018-10-31 20:46:09+00:00,3280,yes,Afternoon,tube,9.58,0.84,0.44,10.01,no,no,2.0
1052,424,Finchley Road Underground Station,2018-11-16 18:13:26+00:00,Baker Street Underground Station,2018-11-16 18:17:56+00:00,3280,yes,Evening,tube,9.39,0.97,0.97,2.38,no,no,1.5
216,445,Finchley Road Underground Station,2018-11-17 15:07:12+00:00,Baker Street Underground Station,2018-11-17 15:11:43+00:00,3280,no,Afternoon,tube,10.49,0.71,0.19,10.01,yes,no,1.5166666666666666
5803,436,Finchley Road Underground Station,2018-11-17 20:56:16+00:00,Baker Street Underground Station,2018-11-17 21:01:14+00:00,3280,no,Night,tube,8.81,0.81,0.19,10.01,yes,no,1.9666666666666666
5530,434,Great Portland Street Underground Station,2018-11-17 21:27:21+00:00,Baker Street Underground Station,2018-11-17 21:30:20+00:00,950,no,Night,tube,7.58,0.93,1.0,3.89,yes,no,-0.016666666666666666
5653,435,Finchley Road Underground Station,2018-11-17 23:06:08+00:00,Baker Street Underground Station,2018-11-17 23:11:38+00:00,3280,no,Night,tube,6.78,0.67,0.54,10.01,yes,no,2.5
5669,435,Great Portland Street Underground Station,2018-11-17 23:50:43+00:00,Baker Street Underground Station,2018-11-17 23:53:14+00:00,950,no,Night,tube,6.31,0.68,0.72,10.01,yes,yes,-0.48333333333333334
5992,440,Finchley Road Underground Station,2018-11-18 14:27:56+00:00,Baker Street Underground Station,2018-11-18 14:33:27+00:00,3280,no,Afternoon,tube,11.91,0.94,0.86,8.22,yes,no,2.5166666666666666
5332,433,Finchley Road Underground Station,2018-11-18 16:05:13+00:00,Baker Street Underground Station,2018-11-18 16:10:13+00:00,3280,no,Afternoon,tube,11.23,0.63,0.75,10.01,yes,no,2.0
4954,432,Great Portland Street Underground Station,2018-11-18 16:40:24+00:00,Baker Street Underground Station,2018-11-18 16:43:24+00:00,950,no,Afternoon,tube,12.37,0.92,0.82,10.01,yes,no,0.0
5912,437,Great Portland Street Underground Station,2018-11-18 19:34:57+00:00,Baker Street Underground Station,2018-11-18 19:37:57+00:00,950,no,Evening,tube,7.19,0.66,0.42,10.01,yes,no,0.0
5273,432,Finchley Road Underground Station,2018-11-19 11:26:44+00:00,Baker Street Underground Station,2018-11-19 11:31:44+00:00,3280,no,Morning,tube,7.46,0.78,0.73,10.01,no,no,2.0
5288,432,Great Portland Street Underground Station,2018-11-19 12:09:52+00:00,Baker Street Underground Station,2018-11-19 12:12:51+00:00,950,no,Morning,tube,7.84,0.76,0.7,10.01,no,no,-0.016666666666666666
5967,440,Finchley Road Underground Station,2018-11-19 16:44:00+00:00,Baker Street Underground Station,2018-11-19 16:49:31+00:00,3280,yes,Afternoon,tube,6.54,0.79,0.51,10.01,no,no,2.5166666666666666
346,450,Finchley Road Underground Station,2018-11-19 17:43:14+00:00,Baker Street Underground Station,2018-11-19 17:49:15+00:00,3280,yes,Afternoon,tube,5.82,0.82,0.61,9.66,no,no,3.0166666666666666
6185,442,Finchley Road Underground Station,2018-11-19 19:25:32+00:00,Baker Street Underground Station,2018-11-19 19:33:33+00:00,3280,no,Evening,tube,5.01,0.88,0.73,9.88,no,yes,5.016666666666667
6144,442,Finchley Road Underground Station,2018-11-21 12:26:57+00:00,Baker Street Underground Station,2018-11-21 12:31:26+00:00,3280,no,Afternoon,tube,7.08,0.71,0.45,10.01,no,no,1.4833333333333334
72,443,Great Portland Street Underground Station,2018-11-21 13:27:17+00:00,Baker Street Underground Station,2018-11-21 13:30:14+00:00,950,no,Afternoon,tube,7.03,0.68,0.47,10.01,no,no,-0.05
5581,435,Great Portland Street Underground Station,2018-11-21 14:50:21+00:00,Baker Street Underground Station,2018-11-21 14:52:52+00:00,950,no,Afternoon,tube,6.61,0.66,0.66,10.01,no,no,-0.48333333333333334
5934,437,Finchley Road Underground Station,2018-11-21 16:38:15+00:00,Baker Street Underground Station,2018-11-21 16:42:45+00:00,3280,yes,Evening,tube,4.91,0.76,0.47,10.01,no,no,1.5
5957,437,Great Portland Street Underground Station,2018-11-21 17:30:24+00:00,Baker Street Underground Station,2018-11-21 17:33:24+00:00,950,yes,Evening,tube,4.51,0.8,0.41,10.01,no,no,0.0
5944,437,Great Portland Street Underground Station,2018-11-21 17:30:24+00:00,Baker Street Underground Station,2018-11-21 17:33:54+00:00,950,yes,Evening,tube,4.51,0.8,0.41,10.01,no,no,0.5
5405,433,Great Portland Street Underground Station,2018-11-21 21:17:02+00:00,Baker Street Underground Station,2018-11-21 21:19:32+00:00,950,no,Night,tube,2.14,0.87,0.75,7.02,no,no,-0.5
103,443,Finchley Road Underground Station,2018-11-22 12:34:10+00:00,Baker Street Underground Station,2018-11-22 12:38:39+00:00,3280,no,Afternoon,tube,4.97,0.9,0.81,3.23,no,no,1.4833333333333334
5301,433,Finchley Road Underground Station,2018-11-22 16:10:13+00:00,Baker Street Underground Station,2018-11-22 16:15:15+00:00,3280,no,Afternoon,tube,4.92,0.93,0.86,3.41,no,no,2.033333333333333
5464,434,Finchley Road Underground Station,2018-11-22 18:35:28+00:00,Baker Street Underground Station,2018-11-22 18:40:29+00:00,3280,no,Afternoon,tube,4.73,0.93,0.85,3.3,no,no,2.0166666666666666
5480,434,Great Portland Street Underground Station,2018-11-22 19:21:09+00:00,Baker Street Underground Station,2018-11-22 19:24:09+00:00,950,no,Afternoon,tube,4.75,0.92,0.75,3.4,no,no,0.0
5224,432,Great Portland Street Underground Station,2018-11-23 12:13:47+00:00,Baker Street Underground Station,2018-11-23 12:16:16+00:00,950,no,Afternoon,tube,7.91,0.92,0.99,4.26,no,no,-0.5166666666666667
