,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
3521,SN09CFX,Uxbridge High School,2018-10-31 16:16:13+00:00,Brunel University,2018-10-31 16:18:01+00:00,590,yes,Afternoon,bus,11.36,0.67,0.19,10.01,no,yes,0.8
3672,SN09CGE,Huxley Close,2018-10-31 17:57:46+00:00,Brunel University,2018-10-31 17:59:51+00:00,530,yes,Afternoon,bus,9.13,0.86,0.89,7.65,no,yes,1.0833333333333333
4631,YX10BFN,Uxbridge High School,2018-11-01 15:24:23+00:00,Brunel University,2018-11-01 15:26:23+00:00,590,no,Afternoon,bus,9.23,0.9,0.8,9.96,no,yes,1.0
4730,YX10BFO,Huxley Close,2018-11-01 19:25:57+00:00,Brunel University,2018-11-01 19:27:41+00:00,530,no,Evening,bus,6.47,0.91,0.33,10.01,no,yes,0.7333333333333333
1291,LK08FLF,Uxbridge High School,2018-11-02 21:58:42+00:00,Brunel University,2018-11-02 22:00:24+00:00,590,no,Night,bus,4.71,0.8,0.75,9.29,no,yes,0.7
1345,LK08FLF,St Laurence Church,2018-11-02 23:11:23+00:00,Brunel University,2018-11-02 23:12:47+00:00,685,no,Night,bus,4.21,0.86,0.79,9.45,no,yes,0.4
2875,LK16DEU,Huxley Close,2018-11-03 16:14:17+00:00,Brunel University,2018-11-03 16:15:15+00:00,530,no,Afternoon,bus,11.56,0.66,0.22,10.01,yes,no,-0.03333333333333333
2995,LK16DFA,Uxbridge High School,2018-11-03 16:36:10+00:00,Brunel University,2018-11-03 16:37:52+00:00,590,no,Afternoon,bus,11.18,0.69,0.22,10.01,yes,no,0.7
3099,LK16DFA,Huxley Close,2018-11-03 17:57:15+00:00,Brunel University,2018-11-03 17:58:04+00:00,530,no,Afternoon,bus,9.94,0.76,0.73,10.01,no,yes,-0.18333333333333332
2732,LK16DDZ,Huxley Close,2018-11-03 19:05:10+00:00,Brunel University,2018-11-03 19:06:01+00:00,530,no,Evening,bus,9.28,0.74,0.75,10.01,yes,yes,-0.15
4773,YX10BFO,Uxbridge High School,2018-11-07 20:58:40+00:00,Brunel University,2018-11-07 21:00:20+00:00,590,no,Night,bus,10.42,0.89,0.74,10.01,no,yes,0.6666666666666666
4762,YX10BFO,Huxley Close,2018-11-07 22:13:18+00:00,Brunel University,2018-11-07 22:14:10+00:00,530,no,Night,bus,9.54,0.85,0.73,10.01,no,yes,-0.13333333333333333
2843,LK16DDZ,Huxley Close,2018-11-08 13:33:58+00:00,Brunel University,2018-11-08 13:35:49+00:00,530,no,Night,bus,13.43,0.61,0.33,10.01,no,yes,0.85
3889,YX10BFA,Uxbridge High School,2018-11-08 16:27:48+00:00,Brunel University,2018-11-08 16:29:46+00:00,590,yes,Afternoon,bus,11.32,0.68,0.89,10.01,no,yes,0.9666666666666667
2571,LK16DDX,Uxbridge High School,2018-11-09 11:22:49+00:00,Brunel University,2018-11-09 11:24:24+00:00,590,no,Morning,bus,12.26,0.86,0.79,9.98,no,yes,0.5833333333333334
2528,LK16DDU,St Laurence Church,2018-11-09 13:15:31+00:00,Brunel University,2018-11-09 13:17:58+00:00,685,no,Morning,bus,12.6,0.8,0.84,10.01,no,yes,1.45
1893,LK08FNE,Uxbridge High School,2018-11-09 13:35:01+00:00,Brunel University,2018-11-09 13:36:44+00:00,590,no,Afternoon,bus,13.04,0.74,0.72,10.01,no,yes,0.7166666666666667
1944,LK08FNE,St Laurence Church,2018-11-09 15:08:40+00:00,Brunel University,2018-11-09 15:10:56+00:00,685,no,Afternoon,bus,12.59,0.69,0.67,10.01,no,yes,1.2666666666666666
2388,LK16DDO,Huxley Close,2018-11-09 16:11:18+00:00,Brunel University,2018-11-09 16:13:37+00:00,530,no,Afternoon,bus,11.96,0.72,0.57,10.01,no,yes,1.3166666666666667
4490,YX10BFM,Uxbridge High School,2018-11-09 18:06:01+00:00,Brunel University,2018-11-09 18:07:56+00:00,590,yes,Evening,bus,11.93,0.7,0.46,9.99,no,no,0.9166666666666666
3554,SN09CFY,Uxbridge High School,2018-11-09 19:13:46+00:00,Brunel University,2018-11-09 19:15:56+00:00,590,no,Evening,bus,11.69,0.78,0.73,9.88,no,yes,1.1666666666666667
3606,SN09CFY,Huxley Close,2018-11-09 20:38:27+00:00,Brunel University,2018-11-09 20:39:10+00:00,530,no,Evening,bus,10.92,0.88,0.76,9.29,no,yes,-0.2833333333333333
4114,YX10BFE,Uxbridge High School,2018-11-09 22:57:24+00:00,Brunel University,2018-11-09 22:59:04+00:00,590,no,Night,bus,11.02,0.93,0.89,5.97,no,yes,0.6666666666666666
2813,LK16DDZ,Huxley Close,2018-11-09 23:58:34+00:00,Brunel University,2018-11-09 23:59:24+00:00,530,no,Night,bus,11.05,0.93,0.87,7.48,no,yes,-0.16666666666666666
3144,LK16DFA,Uxbridge High School,2018-11-10 12:22:37+00:00,Brunel University,2018-11-10 12:24:34+00:00,590,no,Morning,bus,13.58,0.78,0.56,10.01,yes,no,0.95
3788,SN09CGK,Uxbridge High School,2018-11-10 13:11:57+00:00,Brunel University,2018-11-10 13:13:39+00:00,590,no,Afternoon,bus,13.44,0.76,0.89,9.96,yes,yes,0.7
1729,LK08FND,Huxley Close,2018-11-10 14:52:27+00:00,Brunel University,2018-11-10 14:53:41+00:00,530,no,Afternoon,bus,10.88,0.88,0.68,9.98,yes,yes,0.23333333333333334
1393,LK08FLG,Huxley Close,2018-11-10 15:39:53+00:00,Brunel University,2018-11-10 15:40:59+00:00,530,no,Afternoon,bus,10.47,0.9,0.73,10.01,yes,yes,0.1
3132,LK16DFA,St Laurence Church,2018-11-10 17:47:51+00:00,Brunel University,2018-11-10 17:49:45+00:00,685,no,Evening,bus,10.05,0.92,0.81,7.98,yes,yes,0.9
943,LK08FLD,Huxley Close,2018-11-10 20:16:42+00:00,Brunel University,2018-11-10 20:17:42+00:00,530,no,Evening,bus,9.97,0.93,0.64,9.16,yes,yes,0.0
1843,LK08FND,Huxley Close,2018-11-10 21:11:52+00:00,Brunel University,2018-11-10 21:12:44+00:00,530,no,Night,bus,9.99,0.94,0.74,9.35,yes,yes,-0.13333333333333333
1857,LK08FND,Uxbridge High School,2018-11-10 21:36:46+00:00,Brunel University,2018-11-10 21:38:37+00:00,590,no,Night,bus,10.01,0.93,0.73,8.72,yes,yes,0.85
4170,YX10BFF,Uxbridge High School,2018-11-10 21:56:00+00:00,Brunel University,2018-11-10 21:57:09+00:00,590,no,Night,bus,10.02,0.93,0.89,8.29,yes,no,0.15
