,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
323,421,Ruislip Manor Underground Station,2018-10-31 18:45:54+00:00,Eastcote Underground Station,2018-10-31 18:47:22+00:00,1140,yes,Evening,tube,9.56,0.78,0.44,10.01,no,no,-3.533333333333333
555,473,Ruislip Manor Underground Station,2018-10-31 20:16:33+00:00,Eastcote Underground Station,2018-10-31 20:18:34+00:00,1140,yes,Afternoon,tube,9.44,0.81,0.31,10.01,no,no,-2.9833333333333334
5617,435,Ruislip Manor Underground Station,2018-11-03 19:37:43+00:00,Eastcote Underground Station,2018-11-03 19:39:11+00:00,1140,no,Evening,tube,9.05,0.75,0.75,10.01,yes,no,-3.533333333333333
1045,424,Ruislip Manor Underground Station,2018-11-16 17:45:50+00:00,Eastcote Underground Station,2018-11-16 17:47:53+00:00,1140,yes,Evening,tube,9.54,0.96,1.0,2.8,no,no,-2.95
209,445,Ruislip Manor Underground Station,2018-11-17 14:38:06+00:00,Eastcote Underground Station,2018-11-17 14:40:06+00:00,1140,no,Afternoon,tube,10.99,0.68,0.19,10.01,yes,no,-3.0
5535,435,Rayners Lane Underground Station,2018-11-17 17:36:45+00:00,Eastcote Underground Station,2018-11-17 17:39:15+00:00,1840,no,Afternoon,tube,7.85,0.93,0.97,3.96,yes,no,-2.5
167,444,Rayners Lane Underground Station,2018-11-17 18:29:52+00:00,Eastcote Underground Station,2018-11-17 18:32:54+00:00,1840,no,Afternoon,tube,10.75,0.76,0.23,10.01,yes,no,-1.9666666666666666
3745,431,Rayners Lane Underground Station,2018-11-17 19:20:59+00:00,Eastcote Underground Station,2018-11-17 19:23:30+00:00,1840,no,Evening,tube,6.23,0.84,0.89,10.01,yes,no,-2.4833333333333334
5787,436,Rayners Lane Underground Station,2018-11-17 19:56:36+00:00,Eastcote Underground Station,2018-11-17 19:58:36+00:00,1840,no,Evening,tube,8.68,0.85,0.93,8.08,yes,no,-3.0
5797,436,Ruislip Manor Underground Station,2018-11-17 20:30:12+00:00,Eastcote Underground Station,2018-11-17 20:32:11+00:00,1140,no,Evening,tube,8.91,0.79,0.19,10.01,yes,no,-3.0166666666666666
5985,440,Ruislip Manor Underground Station,2018-11-18 14:01:53+00:00,Eastcote Underground Station,2018-11-18 14:03:53+00:00,1140,no,Afternoon,tube,11.98,0.92,0.82,9.01,yes,no,-3.0
5495,434,Rayners Lane Underground Station,2018-11-18 15:14:06+00:00,Eastcote Underground Station,2018-11-18 15:16:06+00:00,1840,no,Afternoon,tube,11.27,0.62,0.79,10.01,yes,no,-3.0
