,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
334,421,King's Cross St. Pancras Underground Station,2018-10-31 19:29:45+00:00,Farringdon Underground Station,2018-10-31 19:34:45+00:00,1830,yes,Evening,tube,9.76,0.78,0.43,10.01,no,no,2.0
566,473,King's Cross St. Pancras Underground Station,2018-10-31 20:53:11+00:00,Farringdon Underground Station,2018-10-31 20:57:41+00:00,1830,yes,Afternoon,tube,9.66,0.85,0.44,10.01,no,no,1.5
1056,424,King's Cross St. Pancras Underground Station,2018-11-16 18:24:58+00:00,Farringdon Underground Station,2018-11-16 18:29:28+00:00,1830,yes,Evening,tube,9.36,0.98,0.96,2.25,no,no,1.5
5610,435,King's Cross St. Pancras Underground Station,2018-11-17 16:35:29+00:00,Farringdon Underground Station,2018-11-17 16:40:35+00:00,1830,no,Afternoon,tube,9.01,0.79,0.19,10.01,yes,no,2.1
5807,436,King's Cross St. Pancras Underground Station,2018-11-17 21:07:47+00:00,Farringdon Underground Station,2018-11-17 21:12:47+00:00,1830,no,Night,tube,8.79,0.82,0.19,10.01,yes,no,2.0
5657,435,King's Cross St. Pancras Underground Station,2018-11-17 23:19:40+00:00,Farringdon Underground Station,2018-11-17 23:24:10+00:00,1830,no,Night,tube,6.76,0.67,0.57,10.01,yes,no,1.5
5665,435,Barbican Underground Station,2018-11-17 23:41:43+00:00,Farringdon Underground Station,2018-11-17 23:44:12+00:00,525,no,Night,tube,6.62,0.66,0.66,10.01,yes,yes,-0.5166666666666667
5996,440,King's Cross St. Pancras Underground Station,2018-11-18 14:41:01+00:00,Farringdon Underground Station,2018-11-18 14:46:01+00:00,1830,no,Afternoon,tube,11.99,0.94,0.88,8.14,yes,no,2.0
5336,433,King's Cross St. Pancras Underground Station,2018-11-18 16:18:45+00:00,Farringdon Underground Station,2018-11-18 16:22:45+00:00,1830,no,Afternoon,tube,11.21,0.63,0.76,10.01,yes,no,1.0
4950,432,Barbican Underground Station,2018-11-18 16:32:18+00:00,Farringdon Underground Station,2018-11-18 16:34:18+00:00,525,no,Afternoon,tube,12.54,0.92,0.81,10.01,yes,yes,-1.0
5900,437,King's Cross St. Pancras Underground Station,2018-11-18 19:04:20+00:00,Farringdon Underground Station,2018-11-18 19:09:21+00:00,1830,no,Evening,tube,7.13,0.65,0.41,10.01,yes,no,2.0166666666666666
5908,437,Barbican Underground Station,2018-11-18 19:26:24+00:00,Farringdon Underground Station,2018-11-18 19:28:24+00:00,525,no,Evening,tube,7.17,0.65,0.42,10.01,yes,no,-1.0
5277,432,King's Cross St. Pancras Underground Station,2018-11-19 11:38:47+00:00,Farringdon Underground Station,2018-11-19 11:43:46+00:00,1830,no,Morning,tube,7.76,0.77,0.71,10.01,no,no,1.9833333333333334
5284,432,Barbican Underground Station,2018-11-19 12:01:50+00:00,Farringdon Underground Station,2018-11-19 12:03:51+00:00,525,no,Morning,tube,7.93,0.76,0.69,10.01,no,yes,-0.9833333333333333
5971,440,King's Cross St. Pancras Underground Station,2018-11-19 16:57:03+00:00,Farringdon Underground Station,2018-11-19 17:02:03+00:00,1830,yes,Afternoon,tube,6.62,0.78,0.49,10.01,no,no,2.0
350,450,King's Cross St. Pancras Underground Station,2018-11-19 17:55:46+00:00,Farringdon Underground Station,2018-11-19 18:00:46+00:00,1830,yes,Afternoon,tube,5.67,0.83,0.65,9.56,no,no,2.0
6148,442,King's Cross St. Pancras Underground Station,2018-11-21 12:39:01+00:00,Farringdon Underground Station,2018-11-21 12:43:31+00:00,1830,no,Afternoon,tube,7.24,0.69,0.45,10.01,no,no,1.5
5569,435,King's Cross St. Pancras Underground Station,2018-11-21 14:18:50+00:00,Farringdon Underground Station,2018-11-21 14:22:49+00:00,1830,no,Afternoon,tube,6.81,0.67,0.55,10.01,no,no,0.9833333333333333
5577,435,Barbican Underground Station,2018-11-21 14:41:50+00:00,Farringdon Underground Station,2018-11-21 14:43:50+00:00,525,no,Afternoon,tube,6.69,0.66,0.63,10.01,no,yes,-1.0
5953,437,Barbican Underground Station,2018-11-21 17:20:21+00:00,Farringdon Underground Station,2018-11-21 17:22:54+00:00,525,yes,Evening,tube,4.57,0.79,0.44,10.01,no,no,-0.45
5940,437,Barbican Underground Station,2018-11-21 17:20:24+00:00,Farringdon Underground Station,2018-11-21 17:22:23+00:00,525,yes,Evening,tube,4.57,0.79,0.44,10.01,no,no,-1.0166666666666666
5393,433,King's Cross St. Pancras Underground Station,2018-11-21 20:43:57+00:00,Farringdon Underground Station,2018-11-21 20:48:57+00:00,1830,no,Night,tube,2.29,0.87,0.7,7.5,no,no,2.0
5401,433,Barbican Underground Station,2018-11-21 21:08:01+00:00,Farringdon Underground Station,2018-11-21 21:09:29+00:00,525,no,Night,tube,2.2,0.86,0.75,7.24,no,no,-1.5333333333333334
5648,435,King's Cross St. Pancras Underground Station,2018-11-22 12:03:33+00:00,Farringdon Underground Station,2018-11-22 12:08:01+00:00,1830,no,Morning,tube,4.53,0.91,0.85,3.3,no,no,1.4666666666666666
107,443,King's Cross St. Pancras Underground Station,2018-11-22 12:48:10+00:00,Farringdon Underground Station,2018-11-22 12:52:39+00:00,1830,no,Afternoon,tube,5.12,0.89,0.8,3.15,no,no,1.4833333333333334
5305,433,King's Cross St. Pancras Underground Station,2018-11-22 16:23:15+00:00,Farringdon Underground Station,2018-11-22 16:27:46+00:00,1830,no,Afternoon,tube,5.08,0.92,0.9,3.38,no,no,1.5166666666666666
5468,434,King's Cross St. Pancras Underground Station,2018-11-22 18:51:05+00:00,Farringdon Underground Station,2018-11-22 18:55:36+00:00,1830,no,Afternoon,tube,4.83,0.92,0.79,3.2,no,no,1.5166666666666666
5476,434,Barbican Underground Station,2018-11-22 19:12:37+00:00,Farringdon Underground Station,2018-11-22 19:14:37+00:00,525,no,Afternoon,tube,4.78,0.92,0.75,3.3,no,no,-1.0
5116,432,King's Cross St. Pancras Underground Station,2018-11-23 13:56:36+00:00,Farringdon Underground Station,2018-11-23 14:01:36+00:00,1830,no,Afternoon,tube,7.96,0.93,0.95,4.54,no,no,2.0
5840,436,King's Cross St. Pancras Underground Station,2018-11-23 21:40:57+00:00,Farringdon Underground Station,2018-11-23 21:45:57+00:00,1830,no,Night,tube,7.86,0.92,0.94,4.18,no,no,2.0
5848,436,Barbican Underground Station,2018-11-23 22:02:31+00:00,Farringdon Underground Station,2018-11-23 22:04:00+00:00,525,no,Night,tube,7.88,0.92,1.0,4.09,no,no,-1.5166666666666666
2655,431,King's Cross St. Pancras Underground Station,2018-11-24 13:48:39+00:00,Farringdon Underground Station,2018-11-24 13:53:10+00:00,1830,no,Afternoon,tube,8.82,0.83,0.92,9.12,yes,no,1.5166666666666666
2320,431,Moorgate Underground Station,2018-11-24 16:26:40+00:00,Farringdon Underground Station,2018-11-24 16:29:10+00:00,1195,no,Afternoon,tube,7.88,0.83,0.87,9.11,yes,no,-0.5
5218,432,King's Cross St. Pancras Underground Station,2018-11-24 18:23:33+00:00,Farringdon Underground Station,2018-11-24 18:27:34+00:00,1830,no,Afternoon,tube,7.62,0.83,0.9,9.69,yes,no,1.0166666666666666
5859,436,King's Cross St. Pancras Underground Station,2018-11-24 21:07:48+00:00,Farringdon Underground Station,2018-11-24 21:12:19+00:00,1830,no,Night,tube,7.55,0.81,0.95,9.16,no,no,1.5166666666666666
6084,441,King's Cross St. Pancras Underground Station,2018-11-26 17:07:47+00:00,Farringdon Underground Station,2018-11-26 17:12:48+00:00,1830,yes,Evening,tube,7.01,0.84,0.75,10.01,no,no,2.0166666666666666
6092,441,Barbican Underground Station,2018-11-26 17:31:23+00:00,Farringdon Underground Station,2018-11-26 17:33:23+00:00,525,yes,Evening,tube,6.99,0.84,0.75,10.01,no,yes,-1.0
5344,406,King's Cross St. Pancras Underground Station,2018-11-27 12:44:43+00:00,Farringdon Underground Station,2018-11-27 12:48:40+00:00,1830,no,Afternoon,tube,6.08,0.91,0.66,6.92,no,no,0.95
5352,406,Barbican Underground Station,2018-11-27 13:06:44+00:00,Farringdon Underground Station,2018-11-27 13:08:45+00:00,525,no,Afternoon,tube,6.35,0.92,0.71,6.21,no,yes,-0.9833333333333333
6039,412,King's Cross St. Pancras Underground Station,2018-11-27 16:40:59+00:00,Farringdon Underground Station,2018-11-27 16:45:29+00:00,1830,yes,Afternoon,tube,8.24,0.93,0.85,8.05,no,no,1.5
6047,412,Barbican Underground Station,2018-11-27 17:02:02+00:00,Farringdon Underground Station,2018-11-27 17:03:32+00:00,525,yes,Afternoon,tube,8.46,0.93,0.86,7.74,no,no,-1.5
517,465,Barbican Underground Station,2018-11-27 20:53:54+00:00,Farringdon Underground Station,2018-11-27 20:55:55+00:00,525,no,Night,tube,10.29,0.92,0.76,9.98,no,no,-0.9833333333333333
5719,436,King's Cross St. Pancras Underground Station,2018-11-28 14:25:57+00:00,Farringdon Underground Station,2018-11-28 14:30:24+00:00,1830,no,Afternoon,tube,13.08,0.92,0.88,6.95,no,no,1.45
5243,432,Barbican Underground Station,2018-11-28 16:42:51+00:00,Farringdon Underground Station,2018-11-28 16:44:50+00:00,525,yes,Afternoon,tube,13.22,0.92,0.9,7.97,no,yes,-1.0166666666666666
4070,431,King's Cross St. Pancras Underground Station,2018-11-28 18:45:41+00:00,Farringdon Underground Station,2018-11-28 18:50:40+00:00,1830,yes,Evening,tube,13.22,0.92,0.89,9.66,no,no,1.9833333333333334
297,447,King's Cross St. Pancras Underground Station,2018-11-28 22:35:05+00:00,Farringdon Underground Station,2018-11-28 22:39:33+00:00,1830,no,Night,tube,13.1,0.85,0.75,9.77,no,no,1.4666666666666666
304,447,Moorgate Underground Station,2018-11-28 22:54:42+00:00,Farringdon Underground Station,2018-11-28 22:57:43+00:00,1195,no,Night,tube,13.1,0.84,0.75,9.66,no,no,0.016666666666666666
2948,431,King's Cross St. Pancras Underground Station,2018-11-29 16:04:01+00:00,Farringdon Underground Station,2018-11-29 16:08:31+00:00,1830,no,Afternoon,tube,11.69,0.76,0.6,10.01,no,yes,1.5
2956,431,Barbican Underground Station,2018-11-29 16:28:11+00:00,Farringdon Underground Station,2018-11-29 16:29:41+00:00,525,no,Afternoon,tube,11.77,0.77,0.66,10.01,no,yes,-1.5
6120,441,King's Cross St. Pancras Underground Station,2018-11-30 12:34:12+00:00,Farringdon Underground Station,2018-11-30 12:39:13+00:00,1830,no,Afternoon,tube,11.18,0.71,0.33,10.01,no,no,2.0166666666666666
6008,440,King's Cross St. Pancras Underground Station,2018-11-30 16:58:37+00:00,Farringdon Underground Station,2018-11-30 17:04:35+00:00,1830,yes,Afternoon,tube,9.32,0.72,0.52,10.01,no,no,2.966666666666667
5429,433,Barbican Underground Station,2018-12-01 12:12:46+00:00,Farringdon Underground Station,2018-12-01 12:14:46+00:00,525,no,Morning,tube,11.17,0.93,0.92,5.91,yes,no,-1.0
220,446,Barbican Underground Station,2018-12-01 15:46:55+00:00,Farringdon Underground Station,2018-12-01 15:48:55+00:00,525,no,Afternoon,tube,12.94,0.89,0.78,9.85,yes,yes,-1.0
6095,441,Barbican Underground Station,2018-12-01 17:27:09+00:00,Farringdon Underground Station,2018-12-01 17:29:10+00:00,525,no,Evening,tube,12.63,0.88,0.76,10.01,yes,no,-0.9833333333333333
125,443,King's Cross St. Pancras Underground Station,2018-12-01 21:49:51+00:00,Farringdon Underground Station,2018-12-01 21:54:23+00:00,1830,no,Night,tube,11.98,0.83,0.85,10.01,yes,no,1.5333333333333334
133,443,Barbican Underground Station,2018-12-01 22:13:07+00:00,Farringdon Underground Station,2018-12-01 22:15:07+00:00,525,no,Night,tube,12.11,0.93,0.84,8.87,yes,yes,-1.0
1993,430,King's Cross St. Pancras Underground Station,2018-12-01 22:41:29+00:00,Farringdon Underground Station,2018-12-01 22:46:31+00:00,1830,no,Night,tube,11.56,0.88,0.8,10.01,yes,no,2.033333333333333
39,413,King's Cross St. Pancras Underground Station,2018-12-02 13:58:27+00:00,Farringdon Underground Station,2018-12-02 14:02:58+00:00,1830,no,Afternoon,tube,14.01,0.8,0.75,10.01,yes,no,1.5166666666666666
6074,441,King's Cross St. Pancras Underground Station,2018-12-02 14:51:11+00:00,Farringdon Underground Station,2018-12-02 14:56:09+00:00,1830,no,Afternoon,tube,13.98,0.83,0.76,10.01,yes,no,1.9666666666666666
157,444,King's Cross St. Pancras Underground Station,2018-12-02 15:08:12+00:00,Farringdon Underground Station,2018-12-02 15:12:14+00:00,1830,no,Afternoon,tube,13.93,0.84,0.77,10.01,yes,no,1.0333333333333334
