,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
3542,SN09CFX,Berberis Walk,2018-10-31 16:48:35+00:00,Harmondsworth Road,2018-10-31 16:49:47+00:00,325,yes,Afternoon,bus,10.62,0.69,0.19,10.01,no,no,0.2
3651,SN09CGE,Harmondsworth Lane,2018-10-31 17:25:21+00:00,Harmondsworth Road,2018-10-31 17:27:13+00:00,1075,yes,Afternoon,bus,8.73,0.86,0.89,7.6,no,yes,0.8666666666666667
4653,YX10BFN,Berberis Walk,2018-11-01 16:04:44+00:00,Harmondsworth Road,2018-11-01 16:05:50+00:00,325,no,Afternoon,bus,9.16,0.89,0.75,10.01,no,yes,0.1
4712,YX10BFO,Harmondsworth Lane,2018-11-01 19:01:13+00:00,Harmondsworth Road,2018-11-01 19:03:14+00:00,1075,no,Evening,bus,7.03,0.91,0.24,10.01,no,yes,1.0166666666666666
1313,LK08FLF,Berberis Walk,2018-11-02 22:20:12+00:00,Harmondsworth Road,2018-11-02 22:21:20+00:00,325,no,Night,bus,4.52,0.82,0.76,9.27,no,yes,0.13333333333333333
1328,LK08FLF,Harmondsworth Lane,2018-11-02 22:50:57+00:00,Harmondsworth Road,2018-11-02 22:53:11+00:00,1075,no,Night,bus,4.23,0.85,0.77,9.27,no,yes,1.2333333333333334
3180,LK16DFC,Berberis Walk,2018-11-03 15:23:00+00:00,Harmondsworth Road,2018-11-03 15:23:36+00:00,325,no,Afternoon,bus,12.37,0.63,0.24,10.01,yes,yes,-0.4
2856,LK16DEU,Harmondsworth Lane,2018-11-03 15:45:25+00:00,Harmondsworth Road,2018-11-03 15:47:55+00:00,1075,no,Afternoon,bus,12.04,0.64,0.24,10.01,yes,yes,1.5
3014,LK16DFA,Berberis Walk,2018-11-03 17:04:02+00:00,Harmondsworth Road,2018-11-03 17:05:02+00:00,325,no,Afternoon,bus,10.76,0.72,0.25,10.01,yes,yes,0.0
3081,LK16DFA,Harmondsworth Lane,2018-11-03 17:30:12+00:00,Harmondsworth Road,2018-11-03 17:32:11+00:00,1075,no,Afternoon,bus,10.37,0.74,0.49,10.01,no,no,0.9833333333333333
2712,LK16DDZ,Harmondsworth Lane,2018-11-03 18:40:06+00:00,Harmondsworth Road,2018-11-03 18:42:18+00:00,1075,no,Evening,bus,9.52,0.74,0.75,10.01,yes,yes,1.2
4792,YX10BFO,Berberis Walk,2018-11-07 21:23:30+00:00,Harmondsworth Road,2018-11-07 21:24:34+00:00,325,no,Night,bus,10.28,0.87,0.75,10.01,no,no,0.06666666666666667
