,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
337,421,Moorgate Underground Station,2018-10-31 19:36:17+00:00,Liverpool Street Underground Station,2018-10-31 19:38:48+00:00,400,yes,Evening,tube,9.75,0.78,0.42,10.01,no,yes,0.5166666666666667
569,473,Moorgate Underground Station,2018-10-31 20:59:12+00:00,Liverpool Street Underground Station,2018-10-31 21:01:12+00:00,400,yes,Afternoon,tube,9.64,0.86,0.45,10.01,no,no,0.0
1059,424,Moorgate Underground Station,2018-11-16 18:31:28+00:00,Liverpool Street Underground Station,2018-11-16 18:33:29+00:00,400,yes,Evening,tube,9.28,0.98,0.95,2.17,no,no,0.016666666666666666
5613,435,Moorgate Underground Station,2018-11-17 16:43:07+00:00,Liverpool Street Underground Station,2018-11-17 16:45:35+00:00,400,no,Afternoon,tube,8.84,0.79,0.19,10.01,yes,no,0.4666666666666667
5615,435,Aldgate Underground Station,2018-11-17 16:47:07+00:00,Liverpool Street Underground Station,2018-11-17 16:53:37+00:00,640,no,Afternoon,tube,8.83,0.8,0.19,10.01,yes,no,4.5
5810,436,Moorgate Underground Station,2018-11-17 21:15:47+00:00,Liverpool Street Underground Station,2018-11-17 21:16:48+00:00,400,no,Night,tube,8.77,0.83,0.19,10.01,yes,no,-0.9833333333333333
5660,435,Moorgate Underground Station,2018-11-17 23:27:10+00:00,Liverpool Street Underground Station,2018-11-17 23:28:11+00:00,400,no,Night,tube,6.7,0.66,0.62,10.01,yes,no,-0.9833333333333333
5662,435,Aldgate Underground Station,2018-11-17 23:30:41+00:00,Liverpool Street Underground Station,2018-11-17 23:38:13+00:00,640,no,Night,tube,6.69,0.66,0.63,10.01,yes,yes,5.533333333333333
5999,440,Moorgate Underground Station,2018-11-18 14:48:01+00:00,Liverpool Street Underground Station,2018-11-18 14:50:32+00:00,400,no,Afternoon,tube,12.06,0.94,0.88,8.14,yes,no,0.5166666666666667
5339,433,Moorgate Underground Station,2018-11-18 16:25:46+00:00,Liverpool Street Underground Station,2018-11-18 16:27:47+00:00,400,no,Afternoon,tube,11.2,0.63,0.76,10.01,yes,no,0.016666666666666666
5903,437,Moorgate Underground Station,2018-11-18 19:11:23+00:00,Liverpool Street Underground Station,2018-11-18 19:13:21+00:00,400,no,Evening,tube,7.14,0.65,0.41,10.01,yes,no,-0.03333333333333333
5905,437,Aldgate Underground Station,2018-11-18 19:15:53+00:00,Liverpool Street Underground Station,2018-11-18 19:22:54+00:00,640,no,Evening,tube,7.15,0.65,0.42,10.01,yes,yes,5.016666666666667
5280,432,Moorgate Underground Station,2018-11-19 11:47:17+00:00,Liverpool Street Underground Station,2018-11-19 11:49:19+00:00,400,no,Morning,tube,7.81,0.76,0.7,10.01,no,no,0.03333333333333333
5974,440,Moorgate Underground Station,2018-11-19 17:05:34+00:00,Liverpool Street Underground Station,2018-11-19 17:07:04+00:00,400,yes,Evening,tube,6.47,0.79,0.49,9.96,no,no,-0.5
353,450,Moorgate Underground Station,2018-11-19 18:02:48+00:00,Liverpool Street Underground Station,2018-11-19 18:04:49+00:00,400,yes,Afternoon,tube,5.59,0.83,0.66,9.59,no,no,0.016666666666666666
6151,442,Moorgate Underground Station,2018-11-21 12:46:04+00:00,Liverpool Street Underground Station,2018-11-21 12:48:04+00:00,400,no,Afternoon,tube,7.19,0.7,0.45,10.01,no,no,0.0
6153,442,Aldgate Underground Station,2018-11-21 12:50:33+00:00,Liverpool Street Underground Station,2018-11-21 12:59:05+00:00,640,no,Afternoon,tube,7.24,0.69,0.45,10.01,no,yes,6.533333333333333
5572,435,Moorgate Underground Station,2018-11-21 14:24:49+00:00,Liverpool Street Underground Station,2018-11-21 14:26:51+00:00,400,no,Afternoon,tube,6.76,0.67,0.57,10.01,no,no,0.03333333333333333
5574,435,Aldgate Underground Station,2018-11-21 14:29:22+00:00,Liverpool Street Underground Station,2018-11-21 14:38:19+00:00,640,no,Afternoon,tube,6.79,0.66,0.58,10.01,no,no,6.95
5948,437,Moorgate Underground Station,2018-11-21 17:05:18+00:00,Liverpool Street Underground Station,2018-11-21 17:07:20+00:00,400,yes,Evening,tube,4.63,0.79,0.48,10.01,no,no,0.03333333333333333
5937,437,Aldgate Underground Station,2018-11-21 17:10:20+00:00,Liverpool Street Underground Station,2018-11-21 17:14:51+00:00,640,yes,Evening,tube,4.66,0.79,0.47,10.01,no,yes,2.5166666666666666
5950,437,Aldgate Underground Station,2018-11-21 17:10:20+00:00,Liverpool Street Underground Station,2018-11-21 17:14:51+00:00,640,yes,Evening,tube,4.66,0.79,0.47,10.01,no,yes,2.5166666666666666
5396,433,Moorgate Underground Station,2018-11-21 20:52:57+00:00,Liverpool Street Underground Station,2018-11-21 20:54:59+00:00,400,no,Night,tube,2.23,0.87,0.72,7.5,no,no,0.03333333333333333
5398,433,Aldgate Underground Station,2018-11-21 20:57:00+00:00,Liverpool Street Underground Station,2018-11-21 21:03:28+00:00,640,no,Night,tube,2.28,0.86,0.74,7.48,no,no,4.466666666666667
