,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
336,421,Barbican Underground Station,2018-10-31 19:34:44+00:00,Moorgate Underground Station,2018-10-31 19:36:47+00:00,670,yes,Evening,tube,9.73,0.78,0.42,10.01,no,no,0.05
568,473,Barbican Underground Station,2018-10-31 20:57:42+00:00,Moorgate Underground Station,2018-10-31 21:00:12+00:00,670,yes,Afternoon,tube,9.62,0.86,0.44,10.01,no,no,0.5
1058,424,Barbican Underground Station,2018-11-16 18:30:00+00:00,Moorgate Underground Station,2018-11-16 18:31:59+00:00,670,yes,Evening,tube,9.29,0.98,0.95,2.2,no,no,-0.016666666666666666
5612,435,Barbican Underground Station,2018-11-17 16:40:38+00:00,Moorgate Underground Station,2018-11-17 16:43:37+00:00,670,no,Afternoon,tube,8.91,0.79,0.19,10.01,yes,no,0.9833333333333333
5616,435,Liverpool Street Underground Station,2018-11-17 16:54:07+00:00,Moorgate Underground Station,2018-11-17 16:56:08+00:00,400,no,Afternoon,tube,8.66,0.81,0.19,10.01,yes,yes,0.016666666666666666
5809,436,Barbican Underground Station,2018-11-17 21:12:18+00:00,Moorgate Underground Station,2018-11-17 21:14:49+00:00,670,no,Night,tube,8.78,0.83,0.19,10.01,yes,no,0.5166666666666667
5659,435,Barbican Underground Station,2018-11-17 23:24:40+00:00,Moorgate Underground Station,2018-11-17 23:26:40+00:00,670,no,Night,tube,6.79,0.66,0.58,10.01,yes,no,0.0
5663,435,Liverpool Street Underground Station,2018-11-17 23:38:13+00:00,Moorgate Underground Station,2018-11-17 23:40:12+00:00,400,no,Night,tube,6.7,0.66,0.64,10.01,yes,no,-0.016666666666666666
5998,440,Barbican Underground Station,2018-11-18 14:46:31+00:00,Moorgate Underground Station,2018-11-18 14:49:00+00:00,670,no,Afternoon,tube,12.03,0.94,0.88,8.14,yes,no,0.48333333333333334
5338,433,Barbican Underground Station,2018-11-18 16:23:46+00:00,Moorgate Underground Station,2018-11-18 16:25:45+00:00,670,no,Afternoon,tube,11.2,0.63,0.76,10.01,yes,no,-0.016666666666666666
5902,437,Barbican Underground Station,2018-11-18 19:09:52+00:00,Moorgate Underground Station,2018-11-18 19:11:53+00:00,670,no,Evening,tube,7.14,0.65,0.41,10.01,yes,no,0.016666666666666666
5906,437,Liverpool Street Underground Station,2018-11-18 19:22:54+00:00,Moorgate Underground Station,2018-11-18 19:24:53+00:00,400,no,Evening,tube,7.16,0.65,0.42,10.01,yes,no,-0.016666666666666666
5279,432,Barbican Underground Station,2018-11-19 11:45:48+00:00,Moorgate Underground Station,2018-11-19 11:47:48+00:00,670,no,Morning,tube,7.82,0.76,0.7,10.01,no,no,0.0
5282,432,Aldgate Underground Station,2018-11-19 11:52:49+00:00,Moorgate Underground Station,2018-11-19 12:00:19+00:00,1040,no,Morning,tube,7.92,0.76,0.69,10.01,no,no,5.5
5973,440,Barbican Underground Station,2018-11-19 17:02:05+00:00,Moorgate Underground Station,2018-11-19 17:04:05+00:00,670,yes,Evening,tube,6.55,0.79,0.48,9.99,no,no,0.0
352,450,Barbican Underground Station,2018-11-19 18:00:48+00:00,Moorgate Underground Station,2018-11-19 18:02:47+00:00,670,yes,Afternoon,tube,5.59,0.83,0.66,9.58,no,no,-0.016666666666666666
6150,442,Barbican Underground Station,2018-11-21 12:44:02+00:00,Moorgate Underground Station,2018-11-21 12:46:32+00:00,670,no,Afternoon,tube,7.22,0.69,0.45,10.01,no,no,0.5
6154,442,Liverpool Street Underground Station,2018-11-21 12:59:05+00:00,Moorgate Underground Station,2018-11-21 13:01:06+00:00,400,no,Afternoon,tube,7.17,0.7,0.46,10.01,no,no,0.016666666666666666
5571,435,Barbican Underground Station,2018-11-21 14:23:21+00:00,Moorgate Underground Station,2018-11-21 14:25:21+00:00,670,no,Afternoon,tube,6.78,0.67,0.56,10.01,no,no,0.0
5575,435,Liverpool Street Underground Station,2018-11-21 14:38:20+00:00,Moorgate Underground Station,2018-11-21 14:40:21+00:00,400,no,Afternoon,tube,6.7,0.66,0.62,10.01,no,no,0.016666666666666666
5951,437,Liverpool Street Underground Station,2018-11-21 17:14:51+00:00,Moorgate Underground Station,2018-11-21 17:16:52+00:00,400,yes,Evening,tube,4.58,0.79,0.46,10.01,no,no,0.016666666666666666
5938,437,Liverpool Street Underground Station,2018-11-21 17:14:51+00:00,Moorgate Underground Station,2018-11-21 17:16:52+00:00,400,yes,Evening,tube,4.58,0.79,0.46,10.01,no,no,0.016666666666666666
5395,433,Barbican Underground Station,2018-11-21 20:50:59+00:00,Moorgate Underground Station,2018-11-21 20:53:26+00:00,670,no,Night,tube,2.26,0.87,0.72,7.5,no,no,0.45
5399,433,Liverpool Street Underground Station,2018-11-21 21:04:00+00:00,Moorgate Underground Station,2018-11-21 21:05:31+00:00,400,no,Night,tube,2.2,0.86,0.75,7.35,no,no,-0.48333333333333334
5650,435,Barbican Underground Station,2018-11-22 12:10:03+00:00,Moorgate Underground Station,2018-11-22 12:12:05+00:00,670,no,Morning,tube,4.6,0.91,0.85,3.25,no,no,0.03333333333333333
109,443,Barbican Underground Station,2018-11-22 12:53:41+00:00,Moorgate Underground Station,2018-11-22 12:55:40+00:00,670,no,Afternoon,tube,5.11,0.9,0.8,3.12,no,no,-0.016666666666666666
113,443,Liverpool Street Underground Station,2018-11-22 13:10:44+00:00,Moorgate Underground Station,2018-11-22 13:12:13+00:00,400,no,Afternoon,tube,5.16,0.89,0.82,3.12,no,yes,-0.5166666666666667
5307,433,Barbican Underground Station,2018-11-22 16:28:48+00:00,Moorgate Underground Station,2018-11-22 16:30:47+00:00,670,no,Afternoon,tube,5.08,0.92,0.91,3.38,no,no,-0.016666666666666666
5470,434,Barbican Underground Station,2018-11-22 18:57:05+00:00,Moorgate Underground Station,2018-11-22 18:59:05+00:00,670,no,Afternoon,tube,4.79,0.92,0.76,3.15,no,yes,0.0
5474,434,Liverpool Street Underground Station,2018-11-22 19:09:06+00:00,Moorgate Underground Station,2018-11-22 19:11:07+00:00,400,no,Afternoon,tube,4.76,0.92,0.75,3.25,no,yes,0.016666666666666666
