,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
3535,SN09CFX,Swan Road,2018-10-31 16:41:34+00:00,The Green,2018-10-31 16:42:36+00:00,325,yes,Afternoon,bus,10.89,0.67,0.44,10.01,no,yes,0.03333333333333333
3658,SN09CGE,Mill Road,2018-10-31 17:32:10+00:00,The Green,2018-10-31 17:33:40+00:00,315,yes,Afternoon,bus,8.85,0.86,0.9,7.6,no,yes,0.5
4646,YX10BFN,Swan Road,2018-11-01 15:58:38+00:00,The Green,2018-11-01 15:58:38+00:00,325,no,Afternoon,bus,9.46,0.89,0.85,9.66,no,yes,-1.0
4717,YX10BFO,Mill Road,2018-11-01 19:07:28+00:00,The Green,2018-11-01 19:08:33+00:00,315,no,Evening,bus,7.67,0.89,0.21,10.01,no,yes,0.08333333333333333
1306,LK08FLF,Swan Road,2018-11-02 22:16:30+00:00,The Green,2018-11-02 22:17:19+00:00,325,no,Night,bus,4.96,0.78,0.75,9.69,no,yes,-0.18333333333333332
1332,LK08FLF,Roseary Close,2018-11-02 22:55:51+00:00,The Green,2018-11-02 22:57:21+00:00,645,no,Night,bus,4.75,0.79,0.75,9.69,no,yes,0.5
2861,LK16DEU,Mill Road,2018-11-03 15:52:33+00:00,The Green,2018-11-03 15:53:20+00:00,315,no,Afternoon,bus,11.83,0.63,0.31,10.01,yes,yes,-0.21666666666666667
3009,LK16DFA,Swan Road,2018-11-03 16:57:21+00:00,The Green,2018-11-03 16:58:24+00:00,325,no,Afternoon,bus,11.03,0.68,0.19,10.01,yes,no,0.05
3087,LK16DFA,Mill Road,2018-11-03 17:36:20+00:00,The Green,2018-11-03 17:37:13+00:00,315,no,Afternoon,bus,10.4,0.71,0.19,10.01,no,yes,-0.11666666666666667
2718,LK16DDZ,Mill Road,2018-11-03 18:46:56+00:00,The Green,2018-11-03 18:47:41+00:00,315,no,Evening,bus,9.45,0.74,0.75,10.01,yes,yes,-0.25
4787,YX10BFO,Swan Road,2018-11-07 21:18:44+00:00,The Green,2018-11-07 21:19:24+00:00,325,no,Night,bus,10.83,0.88,0.75,10.01,no,no,-0.3333333333333333
4748,YX10BFO,Roseary Close,2018-11-07 21:56:48+00:00,The Green,2018-11-07 21:58:06+00:00,645,no,Night,bus,9.96,0.85,0.75,10.01,no,yes,0.3
2830,LK16DDZ,Roseary Close,2018-11-08 13:08:03+00:00,The Green,2018-11-08 13:09:42+00:00,645,no,Night,bus,13.87,0.61,0.33,10.01,no,yes,0.65
3253,LK58KHU,Swan Road,2018-11-08 14:09:57+00:00,The Green,2018-11-08 14:10:46+00:00,325,no,Afternoon,bus,13.26,0.59,0.2,10.01,no,yes,-0.18333333333333332
3903,YX10BFA,Swan Road,2018-11-08 16:54:57+00:00,The Green,2018-11-08 16:56:14+00:00,325,yes,Afternoon,bus,11.07,0.7,0.89,10.01,no,yes,0.2833333333333333
