,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
3527,SN09CFX,Colham Road,2018-10-31 16:23:11+00:00,Violet Avenue,2018-10-31 16:25:32+00:00,525,yes,Afternoon,bus,11.14,0.68,0.19,10.01,no,yes,0.35
3666,SN09CGE,Apple Tree Avenue,2018-10-31 17:48:39+00:00,Violet Avenue,2018-10-31 17:51:48+00:00,960,yes,Afternoon,bus,9.01,0.86,0.9,7.6,no,no,1.15
4638,YX10BFN,Colham Road,2018-11-01 15:33:08+00:00,Violet Avenue,2018-11-01 15:36:10+00:00,525,no,Afternoon,bus,9.16,0.9,0.79,9.98,no,no,1.0333333333333334
4725,YX10BFO,Apple Tree Avenue,2018-11-01 19:17:16+00:00,Violet Avenue,2018-11-01 19:21:10+00:00,960,no,Evening,bus,6.64,0.91,0.3,10.01,no,no,1.9
1298,LK08FLF,Colham Road,2018-11-02 22:05:08+00:00,Violet Avenue,2018-11-02 22:06:25+00:00,525,no,Night,bus,4.64,0.8,0.75,9.29,no,no,-0.7166666666666667
1340,LK08FLF,Apple Tree Avenue,2018-11-02 23:05:19+00:00,Violet Avenue,2018-11-02 23:07:50+00:00,960,no,Night,bus,4.19,0.86,0.78,9.38,no,no,0.5166666666666667
2869,LK16DEU,Apple Tree Avenue,2018-11-03 16:04:37+00:00,Violet Avenue,2018-11-03 16:08:18+00:00,960,no,Afternoon,bus,11.71,0.65,0.22,10.01,yes,no,1.6833333333333333
3001,LK16DFA,Colham Road,2018-11-03 16:43:51+00:00,Violet Avenue,2018-11-03 16:45:40+00:00,525,no,Afternoon,bus,11.0,0.7,0.22,10.01,yes,yes,-0.18333333333333332
3093,LK16DFA,Apple Tree Avenue,2018-11-03 17:44:47+00:00,Violet Avenue,2018-11-03 17:48:27+00:00,960,no,Afternoon,bus,10.11,0.75,0.62,10.01,no,yes,1.6666666666666667
2726,LK16DDZ,Apple Tree Avenue,2018-11-03 18:57:28+00:00,Violet Avenue,2018-11-03 19:00:02+00:00,960,no,Evening,bus,9.3,0.74,0.75,10.01,yes,no,0.5666666666666667
4779,YX10BFO,Colham Road,2018-11-07 21:04:53+00:00,Violet Avenue,2018-11-07 21:06:15+00:00,525,no,Night,bus,10.34,0.89,0.75,10.01,no,no,-0.6333333333333333
4756,YX10BFO,Apple Tree Avenue,2018-11-07 22:05:46+00:00,Violet Avenue,2018-11-07 22:08:34+00:00,960,no,Night,bus,9.73,0.85,0.74,10.01,no,yes,0.8
2838,LK16DDZ,Apple Tree Avenue,2018-11-08 13:25:02+00:00,Violet Avenue,2018-11-08 13:27:30+00:00,960,no,Night,bus,13.56,0.61,0.33,10.01,no,no,0.4666666666666667
3245,LK58KHU,Colham Road,2018-11-08 13:56:11+00:00,Violet Avenue,2018-11-08 13:57:45+00:00,525,no,Afternoon,bus,13.01,0.62,0.33,10.01,no,yes,-0.43333333333333335
3895,YX10BFA,Colham Road,2018-11-08 16:36:09+00:00,Violet Avenue,2018-11-08 16:37:46+00:00,525,yes,Afternoon,bus,11.13,0.69,0.89,10.01,no,yes,-0.38333333333333336
2398,LK16DDO,Colham Road,2018-11-08 19:55:50+00:00,Violet Avenue,2018-11-08 19:57:19+00:00,525,yes,Evening,bus,12.29,0.85,0.92,10.01,no,yes,-0.5166666666666667
3281,LK58KHU,Apple Tree Avenue,2018-11-08 21:24:14+00:00,Violet Avenue,2018-11-08 21:27:21+00:00,960,no,Night,bus,8.76,0.85,0.47,10.01,no,yes,1.1166666666666667
2577,LK16DDX,Colham Road,2018-11-09 11:29:15+00:00,Violet Avenue,2018-11-09 11:30:54+00:00,525,no,Morning,bus,12.26,0.86,0.8,9.96,no,yes,-0.35
2523,LK16DDU,Apple Tree Avenue,2018-11-09 13:07:29+00:00,Violet Avenue,2018-11-09 13:10:39+00:00,960,no,Morning,bus,12.41,0.83,0.88,10.01,no,no,1.1666666666666667
1900,LK08FNE,Colham Road,2018-11-09 13:41:49+00:00,Violet Avenue,2018-11-09 13:43:30+00:00,525,no,Afternoon,bus,13.18,0.72,0.68,10.01,no,no,-0.31666666666666665
1939,LK08FNE,Apple Tree Avenue,2018-11-09 14:59:03+00:00,Violet Avenue,2018-11-09 15:02:14+00:00,960,no,Afternoon,bus,12.71,0.68,0.69,10.01,no,yes,1.1833333333333333
2382,LK16DDO,Apple Tree Avenue,2018-11-09 16:01:46+00:00,Violet Avenue,2018-11-09 16:05:04+00:00,960,no,Afternoon,bus,11.94,0.72,0.56,10.01,no,no,1.3
2048,LK16DDJ,Apple Tree Avenue,2018-11-09 16:57:10+00:00,Violet Avenue,2018-11-09 17:00:27+00:00,960,yes,Afternoon,bus,11.94,0.71,0.6,10.01,no,yes,1.2833333333333334
4497,YX10BFM,Colham Road,2018-11-09 18:13:52+00:00,Violet Avenue,2018-11-09 18:15:55+00:00,525,yes,Evening,bus,11.88,0.71,0.5,9.99,no,yes,0.05
