,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
3532,SN09CFX,Yiewsley High Street,2018-10-31 16:36:11+00:00,West Drayton Station,2018-10-31 16:38:23+00:00,420,yes,Afternoon,bus,10.92,0.68,0.19,10.01,no,yes,0.2
3661,SN09CGE,Ferrers Avenue,2018-10-31 17:37:05+00:00,West Drayton Station,2018-10-31 17:38:36+00:00,405,yes,Afternoon,bus,8.91,0.86,0.9,7.6,no,yes,-0.48333333333333334
4643,YX10BFN,Yiewsley High Street,2018-11-01 15:48:59+00:00,West Drayton Station,2018-11-01 15:51:09+00:00,420,no,Afternoon,bus,9.2,0.89,0.76,9.99,no,no,0.16666666666666666
4720,YX10BFO,Ferrers Avenue,2018-11-01 19:10:22+00:00,West Drayton Station,2018-11-01 19:11:34+00:00,405,no,Evening,bus,6.82,0.91,0.28,10.01,no,yes,-0.8
1303,LK08FLF,Yiewsley High Street,2018-11-02 22:12:42+00:00,West Drayton Station,2018-11-02 22:14:18+00:00,420,no,Night,bus,4.58,0.81,0.76,9.27,no,no,-0.4
1335,LK08FLF,Ferrers Avenue,2018-11-02 22:59:27+00:00,West Drayton Station,2018-11-02 23:00:18+00:00,405,no,Night,bus,4.15,0.85,0.78,9.29,no,yes,-1.15
2864,LK16DEU,Ferrers Avenue,2018-11-03 15:55:42+00:00,West Drayton Station,2018-11-03 15:57:28+00:00,405,no,Afternoon,bus,11.88,0.64,0.24,10.01,yes,yes,-0.23333333333333334
3006,LK16DFA,Yiewsley High Street,2018-11-03 16:52:14+00:00,West Drayton Station,2018-11-03 16:53:57+00:00,420,no,Afternoon,bus,10.94,0.7,0.22,10.01,yes,yes,-0.2833333333333333
3089,LK16DFA,Ferrers Avenue,2018-11-03 17:39:00+00:00,West Drayton Station,2018-11-03 17:40:21+00:00,405,no,Afternoon,bus,10.23,0.74,0.56,10.01,no,yes,-0.65
2721,LK16DDZ,Ferrers Avenue,2018-11-03 18:49:53+00:00,West Drayton Station,2018-11-03 18:51:22+00:00,405,no,Evening,bus,9.42,0.74,0.75,10.01,yes,yes,-0.5166666666666667
4784,YX10BFO,Yiewsley High Street,2018-11-07 21:14:41+00:00,West Drayton Station,2018-11-07 21:15:42+00:00,420,no,Night,bus,10.35,0.88,0.75,10.01,no,yes,-0.9833333333333333
4751,YX10BFO,Ferrers Avenue,2018-11-07 21:59:50+00:00,West Drayton Station,2018-11-07 22:01:06+00:00,405,no,Night,bus,9.92,0.85,0.75,10.01,no,yes,-0.7333333333333333
2833,LK16DDZ,Ferrers Avenue,2018-11-08 13:13:22+00:00,West Drayton Station,2018-11-08 13:14:59+00:00,405,no,Night,bus,13.78,0.61,0.33,10.01,no,no,-0.38333333333333336
3250,LK58KHU,Yiewsley High Street,2018-11-08 14:04:49+00:00,West Drayton Station,2018-11-08 14:06:44+00:00,420,no,Afternoon,bus,13.04,0.62,0.33,10.01,no,yes,-0.08333333333333333
3900,YX10BFA,Yiewsley High Street,2018-11-08 16:47:30+00:00,West Drayton Station,2018-11-08 16:51:17+00:00,420,yes,Afternoon,bus,11.02,0.7,0.89,10.01,no,no,1.7833333333333334
2403,LK16DDO,Yiewsley High Street,2018-11-08 20:04:24+00:00,West Drayton Station,2018-11-08 20:05:54+00:00,420,yes,Evening,bus,12.41,0.83,0.88,10.01,no,yes,-0.5
3276,LK58KHU,Ferrers Avenue,2018-11-08 21:18:09+00:00,West Drayton Station,2018-11-08 21:19:02+00:00,405,no,Night,bus,8.82,0.84,0.47,10.01,no,yes,-1.1166666666666667
2582,LK16DDX,Yiewsley High Street,2018-11-09 11:38:37+00:00,West Drayton Station,2018-11-09 11:40:43+00:00,420,no,Morning,bus,12.43,0.85,0.81,9.95,no,yes,0.1
2518,LK16DDU,Ferrers Avenue,2018-11-09 12:59:42+00:00,West Drayton Station,2018-11-09 13:01:22+00:00,405,no,Morning,bus,12.29,0.85,0.92,10.01,no,yes,-0.3333333333333333
1905,LK08FNE,Yiewsley High Street,2018-11-09 13:50:48+00:00,West Drayton Station,2018-11-09 13:52:44+00:00,420,no,Afternoon,bus,13.42,0.69,0.62,10.01,no,yes,-0.06666666666666667
1934,LK08FNE,Ferrers Avenue,2018-11-09 14:49:49+00:00,West Drayton Station,2018-11-09 14:51:39+00:00,405,no,Afternoon,bus,12.87,0.68,0.67,10.01,no,yes,-0.16666666666666666
2377,LK16DDO,Ferrers Avenue,2018-11-09 15:51:44+00:00,West Drayton Station,2018-11-09 15:53:39+00:00,405,no,Afternoon,bus,12.09,0.71,0.57,10.01,no,yes,-0.08333333333333333
2043,LK16DDJ,Ferrers Avenue,2018-11-09 16:49:04+00:00,West Drayton Station,2018-11-09 16:51:21+00:00,405,yes,Afternoon,bus,11.99,0.71,0.59,10.01,no,yes,0.2833333333333333
4502,YX10BFM,Yiewsley High Street,2018-11-09 18:25:13+00:00,West Drayton Station,2018-11-09 18:27:08+00:00,420,yes,Evening,bus,11.97,0.72,0.56,9.98,no,yes,-0.08333333333333333
3566,SN09CFY,Yiewsley High Street,2018-11-09 19:31:27+00:00,West Drayton Station,2018-11-09 19:33:14+00:00,420,no,Evening,bus,11.46,0.81,0.73,9.75,no,yes,-0.21666666666666667
3595,SN09CFY,Ferrers Avenue,2018-11-09 20:22:33+00:00,West Drayton Station,2018-11-09 20:24:04+00:00,405,no,Evening,bus,10.98,0.87,0.75,9.37,no,yes,-0.48333333333333334
4125,YX10BFE,Yiewsley High Street,2018-11-09 23:09:46+00:00,West Drayton Station,2018-11-09 23:11:02+00:00,420,no,Night,bus,11.08,0.93,0.89,6.16,no,no,-0.7333333333333333
2802,LK16DDZ,Ferrers Avenue,2018-11-09 23:41:54+00:00,West Drayton Station,2018-11-09 23:43:35+00:00,405,no,Night,bus,11.08,0.93,0.87,7.07,no,yes,-0.31666666666666665
3155,LK16DFA,Yiewsley High Street,2018-11-10 12:37:36+00:00,West Drayton Station,2018-11-10 12:40:41+00:00,420,no,Morning,bus,13.6,0.77,0.57,10.01,yes,yes,1.0833333333333333
3799,SN09CGK,Yiewsley High Street,2018-11-10 13:29:16+00:00,West Drayton Station,2018-11-10 13:31:29+00:00,420,no,Afternoon,bus,13.38,0.76,0.89,9.9,yes,yes,0.21666666666666667
